vehicle_id,trip_id,route_id,latitude,longitude,bearing,speed,current_status,timestamp
281,1582485150-6,7-11,43.60578155517578,3.8318231105804443,355.0,34.0,2,1741783651
282,1582384388-6,7-8,43.60393142700195,3.8790221214294434,309.0,0.0,1,1741783471
283,N/A,N/A,43.581111907958984,3.8658387660980225,302.0,1.0,2,1741783651
285,1582412525-6,7-15,43.608985900878906,3.840430974960327,101.0,32.0,2,1741783651
287,1582427730-6,7-52,43.612266540527344,3.930156707763672,358.0,22.0,2,1741783651
289,1582385317-6,7-16,43.6274528503418,3.8975820541381836,123.0,0.0,1,1741783441
290,1582384204-6,7-9,43.60817337036133,3.8941891193389893,15.0,0.0,1,1741783651
291,1582412533-6,7-15,43.62422180175781,3.8625009059906006,226.0,16.0,2,1741783651
292,N/A,N/A,43.579917907714844,3.8690712451934814,2.0,9.0,2,1741783651
2001,1582398259-6,7-1,43.62413024902344,3.8173913955688477,180.0,33.0,2,1741783651
2002,1582398187-6,7-1,43.635990142822266,3.8316361904144287,331.0,39.0,2,1741783651
2004,1582398389-6,7-1,43.63165283203125,3.8525753021240234,120.0,4.0,1,1741783651
2006,1582398146-6,7-1,43.61724853515625,3.872262954711914,115.0,25.0,2,1741783651
2007,N/A,N/A,43.60244369506836,3.921025276184082,302.0,0.0,1,1741783381
2008,1582398282-6,7-1,43.630672454833984,3.8200860023498535,267.0,17.0,2,1741783651
2009,1582398889-6,7-1,43.60916519165039,3.887263059616089,94.0,20.0,2,1741783651
2011,1582398145-6,7-1,43.60423278808594,3.9176979064941406,72.0,34.0,2,1741783651
2013,1582398917-6,7-1,43.60346984863281,3.910823345184326,71.0,24.0,2,1741783651
2014,1582398148-6,7-1,43.630489349365234,3.8426060676574707,72.0,26.0,2,1741783651
2017,1582398230-6,7-1,43.615230560302734,3.875128984451294,286.0,10.0,2,1741783651
2018,1582398192-6,7-1,43.60084533691406,3.8974156379699707,241.0,26.0,2,1741783651
2019,1582398902-6,7-1,43.61668014526367,3.819648265838623,336.0,0.0,2,1741783381
2020,1582398895-6,7-1,43.604068756103516,3.894930839538574,159.0,0.0,1,1741783651
2022,1582398284-6,7-1,43.62699890136719,3.865718364715576,320.0,0.0,1,1741783651
2024,1582398193-6,7-1,43.60343933105469,3.906702995300293,247.0,34.0,2,1741783651
2025,1582398189-6,7-1,43.61425018310547,3.8817715644836426,252.0,9.0,1,1741783651
2026,1582398188-6,7-1,43.6343994140625,3.8486626148223877,327.0,38.0,1,1741783651
2027,1582398871-6,7-1,43.62757110595703,3.8175055980682373,12.0,13.0,1,1741783651
2028,1582398191-6,7-1,43.607295989990234,3.8939177989959717,358.0,9.0,1,1741783651
2029,1582398864-6,7-1,43.611698150634766,3.8827664852142334,171.0,22.0,2,1741783651
2032,1582562719-6,7-4,43.614009857177734,3.880861759185791,298.0,18.0,2,1741783651
2041,1582562647-6,7-4,43.614776611328125,3.87375545501709,21.0,0.0,1,1741783651
2042,1582562718-6,7-4,43.60303497314453,3.8750476837158203,185.0,17.0,2,1741783651
2043,1582562720-6,7-4,43.60354232788086,3.8949038982391357,21.0,18.0,2,1741783651
2044,1582562649-6,7-4,43.59029769897461,3.885192632675171,288.0,22.0,1,1741783651
2045,1582562717-6,7-4,43.59115219116211,3.8911030292510986,22.0,0.0,1,1741783569
2046,1582562648-6,7-4,43.607643127441406,3.874021530151367,321.0,11.0,2,1741783651
2047,1582562646-6,7-4,43.593502044677734,3.8955085277557373,257.0,5.0,1,1741783651
2049,1582400411-6,7-2,43.6071662902832,3.879711627960205,344.0,18.0,2,1741783651
2050,1582400412-6,7-2,43.64926528930664,3.9209628105163574,168.0,3.0,1,1741783651
2052,1582400409-6,7-2,43.61615753173828,3.8826024532318115,27.0,25.0,2,1741783651
2053,1582400405-6,7-2,43.629825592041016,3.9006831645965576,74.0,37.0,2,1741783651
2054,1582400401-6,7-2,43.589908599853516,3.865727663040161,192.0,37.0,2,1741783651
2059,1582400402-6,7-2,43.61426544189453,3.8818585872650146,215.0,0.0,1,1741783651
2060,1582400410-6,7-2,43.58872985839844,3.8657455444335938,25.0,0.0,1,1741783651
2061,1582400403-6,7-2,43.63426971435547,3.9222426414489746,241.0,0.0,1,1741783651
2063,1582400407-6,7-2,43.58391189575195,3.860039710998535,335.0,0.0,1,1741783651
2064,1582400418-6,7-2,43.60307693481445,3.8763725757598877,298.0,4.0,1,1741783651
