agency_id,agency_name,agency_url,agency_timezone,agency_lang,agency_phone,agency_fare_url
TAM,TAM,http://www.tam-voyages.com,Europe/Paris,fr,0467228787,
TMTP,Transdev Montpellier,http://www.tam-voyages.com,Europe/Paris,fr,0467228787,
